,trial_index,video_name,condition,bin,sample,success,failure_type,err_no_distractors,err_no_target,err_wrong_manip,err_new_target_id,err_new_target_unid,err_extra_distractors,err_font_change,err_rotation,err_movement,err_enlarge_target,err_enlarge_distractors,err_target_centre,err_circular_motion,err_merging,err_id_change_before,err_id_change_after,err_vanishing,fidelity_score_total,fidelity_omission,fidelity_numeric,fidelity_temporal,fidelity_physical_vanishing,notes,coder,timestamp,trial_index_DK,video_name_DK,condition_DK,bin_DK,sample_DK,success_DK,failure_type_DK,err_no_distractors_DK,err_no_target_DK,err_wrong_manip_DK,err_new_target_id_DK,err_new_target_unid_DK,err_extra_distractors_DK,err_font_change_DK,err_rotation_DK,err_movement_DK,err_enlarge_target_DK,err_enlarge_distractors_DK,err_target_centre_DK,err_circular_motion_DK,err_merging_DK,err_id_change_before_DK,err_id_change_after_DK,err_vanishing_DK,fidelity_score_total_DK,fidelity_omission_DK,fidelity_numeric_DK,fidelity_temporal_DK,fidelity_physical_vanishing_DK,notes_DK,coder_DK,timestamp_DK,trial_index_FR,video_name_FR,condition_FR,bin_FR,sample_FR,success_FR,failure_type_FR,err_no_distractors_FR,err_no_target_FR,err_wrong_manip_FR,err_new_target_id_FR,err_new_target_unid_FR,err_extra_distractors_FR,err_font_change_FR,err_rotation_FR,err_movement_FR,err_enlarge_target_FR,err_enlarge_distractors_FR,err_target_centre_FR,err_circular_motion_FR,err_merging_FR,err_id_change_before_FR,err_id_change_after_FR,err_vanishing_FR,fidelity_score_total_FR,fidelity_omission_FR,fidelity_numeric_FR,fidelity_temporal_FR,fidelity_physical_vanishing_FR,notes_FR,coder_FR,timestamp_FR
49,49,2Among5ConjRed_Bin3_Sample2.mp4,2Among5ConjRed,3,2,0,new_generation,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,3,2,0,,ER_01,2026-03-31T10:15:30.118Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,2Among5ConjRed_Bin3_Sample3.mp4,2Among5ConjRed,3,3,0,new_generation,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,8,1,3,3,1,,ER_01,2026-03-31T10:17:40.139Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,2Among5ConjRed_Bin3_Sample4.mp4,2Among5ConjRed,3,4,0,new_generation,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,6,0,2,3,1,,ER_01,2026-03-31T10:18:30.250Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,2Among5ConjRed_Bin3_Sample5.mp4,2Among5ConjRed,3,5,1,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,,ER_01,2026-03-31T10:19:30.162Z,15.0,2Among5ConjRed_Bin3_Sample5.mp4,2Among5ConjRed,3.0,5.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,DK_01,2026-04-02T15:35:26.708Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,2Among5ConjRed_Bin3_Sample6.mp4,2Among5ConjRed,3,6,0,new_generation,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,7,0,3,4,0,,ER_01,2026-03-31T10:20:49.451Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,2Among5ConjRed_Bin4_Sample1.mp4,2Among5ConjRed,4,1,0,new_generation,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,6,0,3,3,0,,ER_01,2026-03-31T10:21:42.675Z,16.0,2Among5ConjRed_Bin4_Sample1.mp4,2Among5ConjRed,4.0,1.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,DK_01,2026-04-02T15:36:23.174Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,2Among5ConjRed_Bin4_Sample2.mp4,2Among5ConjRed,4,2,0,new_generation,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,3,4,0,,ER_01,2026-03-31T10:23:54.183Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,2Among5ConjRed_Bin4_Sample3.mp4,2Among5ConjRed,4,3,0,new_generation,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,9,0,3,5,1,wrong new target generated (first 5),ER_01,2026-03-31T10:25:46.033Z,17.0,2Among5ConjRed_Bin4_Sample3.mp4,2Among5ConjRed,4.0,3.0,0.0,location,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,,DK_01,2026-04-02T15:38:25.207Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,2Among5ConjRed_Bin4_Sample4.mp4,2Among5ConjRed,4,4,0,new_generation,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,7,0,2,5,0,,ER_01,2026-03-31T10:26:49.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,2Among5ConjRed_Bin4_Sample5.mp4,2Among5ConjRed,4,5,0,new_generation,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6,0,3,3,0,,ER_01,2026-03-31T10:27:29.616Z,18.0,2Among5ConjRed_Bin4_Sample5.mp4,2Among5ConjRed,4.0,5.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,,DK_01,2026-04-02T15:39:23.889Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,2Among5ConjRed_Bin4_Sample6.mp4,2Among5ConjRed,4,6,0,location,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,,ER_01,2026-03-31T10:29:02.289Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,2Among5ConjRed_Bin5_Sample1.mp4,2Among5ConjRed,5,1,0,new_generation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,ER_01,2026-03-31T10:29:39.831Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,2Among5ConjRed_Bin5_Sample2.mp4,2Among5ConjRed,5,2,0,new_generation,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,,ER_01,2026-03-31T10:30:15.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,2Among5ConjRed_Bin5_Sample3.mp4,2Among5ConjRed,5,3,0,new_generation,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,3,2,0,,ER_01,2026-03-31T10:30:55.743Z,19.0,2Among5ConjRed_Bin5_Sample3.mp4,2Among5ConjRed,5.0,3.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,,DK_01,2026-04-02T15:40:15.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,2Among5ConjRed_Bin5_Sample4.mp4,2Among5ConjRed,5,4,0,new_generation,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T10:31:28.550Z,20.0,2Among5ConjRed_Bin5_Sample4.mp4,2Among5ConjRed,5.0,4.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,,DK_01,2026-04-02T15:41:37.672Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,2Among5ConjRed_Bin5_Sample5.mp4,2Among5ConjRed,5,5,0,new_generation,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,8,0,3,4,1,,ER_01,2026-03-31T10:32:17.903Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,2Among5ConjRed_Bin5_Sample6.mp4,2Among5ConjRed,5,6,0,new_generation,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,6,1,0,4,1,,ER_01,2026-03-31T10:33:21.902Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,2Among5ConjRed_Bin6_Sample1.mp4,2Among5ConjRed,6,1,0,new_generation,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,6,0,1,5,0,,ER_01,2026-03-31T10:35:16.583Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,2Among5ConjRed_Bin6_Sample2.mp4,2Among5ConjRed,6,2,0,new_generation,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,3,0,,ER_01,2026-03-31T10:35:58.776Z,21.0,2Among5ConjRed_Bin6_Sample2.mp4,2Among5ConjRed,6.0,2.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,,DK_01,2026-04-02T15:42:41.937Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,2Among5ConjRed_Bin6_Sample3.mp4,2Among5ConjRed,6,3,0,new_generation,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,6,1,1,4,0,,ER_01,2026-03-31T10:37:12.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,2Among5ConjRed_Bin6_Sample4.mp4,2Among5ConjRed,6,4,0,new_generation,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T10:38:48.204Z,22.0,2Among5ConjRed_Bin6_Sample4.mp4,2Among5ConjRed,6.0,4.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,DK_01,2026-04-02T15:43:25.356Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,2Among5ConjRed_Bin6_Sample5.mp4,2Among5ConjRed,6,5,0,new_generation,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T10:38:48.916Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,2Among5ConjRed_Bin6_Sample6.mp4,2Among5ConjRed,6,6,0,new_generation,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T10:39:14.157Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,2Among5NoColour_Bin1_Sample1.mp4,2Among5NoColour,1,1,1,,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T10:39:54.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,2Among5NoColour_Bin1_Sample2.mp4,2Among5NoColour,1,2,1,,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,10,1,1,7,1,,ER_01,2026-03-31T10:41:22.436Z,23.0,2Among5NoColour_Bin1_Sample2.mp4,2Among5NoColour,1.0,2.0,0.0,new_generation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,hmmm...,DK_01,2026-04-02T15:44:56.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,2Among5NoColour_Bin1_Sample3.mp4,2Among5NoColour,1,3,1,,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T10:41:59.691Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,2Among5NoColour_Bin1_Sample4.mp4,2Among5NoColour,1,4,0,ambiguity,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,,ER_01,2026-03-31T10:42:56.540Z,24.0,2Among5NoColour_Bin1_Sample4.mp4,2Among5NoColour,1.0,4.0,0.0,new_generation,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,,DK_01,2026-04-02T15:46:16.985Z,13.0,2Among5NoColour_Bin1_Sample4.mp4,2Among5NoColour,1.0,4.0,0.0,new_generation,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,,FR_01,2026-04-05T19:36:28.781Z
76,76,2Among5NoColour_Bin1_Sample5.mp4,2Among5NoColour,1,5,1,,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T10:43:10.948Z,25.0,2Among5NoColour_Bin1_Sample5.mp4,2Among5NoColour,1.0,5.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,DK_01,2026-04-02T15:47:10.919Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,2Among5NoColour_Bin1_Sample6.mp4,2Among5NoColour,1,6,0,new_generation,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,8,0,2,5,1,,ER_01,2026-03-31T10:43:54.931Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,2Among5NoColour_Bin2_Sample1.mp4,2Among5NoColour,2,1,0,new_generation,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,2,2,0,,ER_01,2026-03-31T10:44:26.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,2Among5NoColour_Bin2_Sample2.mp4,2Among5NoColour,2,2,0,new_generation,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T10:45:13.460Z,26.0,2Among5NoColour_Bin2_Sample2.mp4,2Among5NoColour,2.0,2.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,,DK_01,2026-04-02T15:48:00.392Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,2Among5NoColour_Bin2_Sample3.mp4,2Among5NoColour,2,3,0,new_generation,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,6,0,1,5,0,,ER_01,2026-03-31T10:46:21.064Z,27.0,2Among5NoColour_Bin2_Sample3.mp4,2Among5NoColour,2.0,3.0,0.0,new_generation,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,5.0,0.0,,DK_01,2026-04-02T15:48:59.568Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,2Among5NoColour_Bin2_Sample4.mp4,2Among5NoColour,2,4,0,new_generation,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,9,1,2,5,1,,ER_01,2026-03-31T10:47:21.347Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,2Among5NoColour_Bin2_Sample5.mp4,2Among5NoColour,2,5,0,new_generation,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,5,0,2,3,0,,ER_01,2026-03-31T10:47:44.706Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,2Among5NoColour_Bin2_Sample6.mp4,2Among5NoColour,2,6,0,location,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,10,1,2,5,2,,ER_01,2026-03-31T10:49:44.049Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,2Among5NoColour_Bin3_Sample1.mp4,2Among5NoColour,3,1,0,new_generation,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,7,0,2,4,1,,ER_01,2026-03-31T10:51:18.961Z,28.0,2Among5NoColour_Bin3_Sample1.mp4,2Among5NoColour,3.0,1.0,0.0,new_generation,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,0.0,,DK_01,2026-04-02T15:50:51.384Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,2Among5NoColour_Bin3_Sample2.mp4,2Among5NoColour,3,2,0,new_generation,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,6,0,2,4,0,,ER_01,2026-03-31T10:52:19.609Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,2Among5NoColour_Bin3_Sample3.mp4,2Among5NoColour,3,3,0,new_generation,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,7,0,2,5,0,,ER_01,2026-03-31T10:53:12.408Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,2Among5NoColour_Bin3_Sample4.mp4,2Among5NoColour,3,4,0,new_generation,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,3,2,0,,ER_01,2026-03-31T10:53:47.616Z,29.0,2Among5NoColour_Bin3_Sample4.mp4,2Among5NoColour,3.0,4.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,,DK_01,2026-04-02T15:51:25.684Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,2Among5NoColour_Bin3_Sample5.mp4,2Among5NoColour,3,5,0,new_generation,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,2,2,0,,ER_01,2026-03-31T10:54:18.295Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,2Among5NoColour_Bin3_Sample6.mp4,2Among5NoColour,3,6,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,ER_01,2026-03-31T10:54:36.048Z,30.0,2Among5NoColour_Bin3_Sample6.mp4,2Among5NoColour,3.0,6.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,DK_01,2026-04-02T15:52:18.223Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,2Among5NoColour_Bin4_Sample1.mp4,2Among5NoColour,4,1,0,new_generation,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,2,1,,ER_01,2026-03-31T10:55:15.416Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,2Among5NoColour_Bin4_Sample2.mp4,2Among5NoColour,4,2,0,new_generation,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,2,2,0,,ER_01,2026-03-31T10:55:55.751Z,31.0,2Among5NoColour_Bin4_Sample2.mp4,2Among5NoColour,4.0,2.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,,DK_01,2026-04-02T15:52:55.800Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,2Among5NoColour_Bin4_Sample3.mp4,2Among5NoColour,4,3,0,new_generation,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,,ER_01,2026-03-31T10:56:14.846Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,2Among5NoColour_Bin4_Sample4.mp4,2Among5NoColour,4,4,0,new_generation,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,8,0,2,6,0,,ER_01,2026-03-31T10:57:10.152Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,2Among5NoColour_Bin4_Sample5.mp4,2Among5NoColour,4,5,0,ambiguity,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,,ER_01,2026-03-31T10:57:53.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2Among5NoColour_Bin4_Sample5.mp4,2Among5NoColour,4.0,5.0,0.0,ambiguity,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,,FR_01,2026-04-05T19:29:52.036Z
95,95,2Among5NoColour_Bin4_Sample6.mp4,2Among5NoColour,4,6,0,new_generation,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,7,0,2,5,0,,ER_01,2026-03-31T10:59:01.014Z,32.0,2Among5NoColour_Bin4_Sample6.mp4,2Among5NoColour,4.0,6.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,,DK_01,2026-04-02T15:53:32.500Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,2Among5NoColour_Bin5_Sample1.mp4,2Among5NoColour,5,1,0,new_generation,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0,1,3,1,,ER_01,2026-03-31T10:59:43.052Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,2Among5NoColour_Bin5_Sample2.mp4,2Among5NoColour,5,2,0,new_generation,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T11:01:00.696Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,2Among5NoColour_Bin5_Sample3.mp4,2Among5NoColour,5,3,0,new_generation,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,6,1,0,4,1,,ER_01,2026-03-31T11:01:37.772Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,2Among5NoColour_Bin5_Sample4.mp4,2Among5NoColour,5,4,0,new_generation,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T11:02:11.077Z,33.0,2Among5NoColour_Bin5_Sample4.mp4,2Among5NoColour,5.0,4.0,0.0,location,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,,DK_01,2026-04-02T15:54:55.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,2Among5NoColour_Bin5_Sample5.mp4,2Among5NoColour,5,5,0,new_generation,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,,ER_01,2026-03-31T11:02:30.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,2Among5NoColour_Bin5_Sample6.mp4,2Among5NoColour,5,6,0,new_generation,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,,ER_01,2026-03-31T11:05:37.173Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,2Among5NoColour_Bin6_Sample1.mp4,2Among5NoColour,6,1,0,new_generation,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T11:09:59.219Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,2Among5NoColour_Bin6_Sample2.mp4,2Among5NoColour,6,2,0,new_generation,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,6,1,1,4,0,,ER_01,2026-03-31T11:11:57.875Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,2Among5NoColour_Bin6_Sample3.mp4,2Among5NoColour,6,3,0,new_generation,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T11:12:23.796Z,34.0,2Among5NoColour_Bin6_Sample3.mp4,2Among5NoColour,6.0,3.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,,DK_01,2026-04-02T15:55:47.532Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
